chengyu,pinyin,english_definition,category,sub_category
调兵遣将,diào bīng qiǎn jiàng,to move an army and send a general (idiom); to deploy an army/to send a team on a task,含有一对近义词的成语  Idioms containing a pair of synonyms,
粉身碎骨,fěn shēn suì gǔ,lit. torn body and crushed bones (idiom)/fig. to die horribly; to sacrifice one's life,含有一对近义词的成语  Idioms containing a pair of synonyms,
狂风暴雨,kuáng fēng bào yǔ,"howling wind and torrential rain (idiom)/(fig.) difficult, dangerous situation",含有一对近义词的成语  Idioms containing a pair of synonyms,
旁敲侧击,páng qiāo cè jī,to make insinuations/to take an indirect approach (in making inquiries) (idiom),含有一对近义词的成语  Idioms containing a pair of synonyms,
改朝换代,gǎi cháo huàn dài,to transition to a new dynasty or regime,含有一对近义词的成语  Idioms containing a pair of synonyms,
道听途说,dào tīng tú shuō,gossip; hearsay; rumor,含有一对近义词的成语  Idioms containing a pair of synonyms,
千辛万苦,qiān xīn wàn kǔ,to suffer untold hardships (idiom); trials and tribulations/with difficulty/after some effort,含有一对近义词的成语  Idioms containing a pair of synonyms,
眼疾手快,yǎn jí shǒu kuài,sharp-eyed and adroit,含有一对近义词的成语  Idioms containing a pair of synonyms,
生龙活虎,shēng lóng huó hǔ,lit. lively dragon and animated tiger (idiom)/fig. vigorous and lively,含有一对近义词的成语  Idioms containing a pair of synonyms,
惊天动地,jīng tiān dòng dì,world-shaking (idiom),含有一对近义词的成语  Idioms containing a pair of synonyms,
七拼八凑,qī pīn bā còu,assembled at random/a motley collection,含有一对近义词的成语  Idioms containing a pair of synonyms,
胡言乱语,hú yán luàn yǔ,babbling nonsense (idiom); crazy and unfounded ravings/double Dutch,含有一对近义词的成语  Idioms containing a pair of synonyms,
深思熟虑,shēn sī shú lǜ,mature reflection/after careful deliberations,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
真凭实据,zhēn píng shí jù,reliable evidence (idiom); conclusive proof/definitive evidence,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
灵丹妙药,líng dān miào yào,"effective cure, miracle medicine (idiom); fig. wonder-cure for all problems/panacea/elixir","""含有两对近义词的成语  Idioms containing two pairs of synonyms",
凶神恶煞,xiōng shén è shà,fiends (idiom); devils and monsters,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
心满意足,xīn mǎn yì zú,perfectly contented (idiom)/perfectly satisfied,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
街头巷议,jiē tóu xiàng yì,,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
翻山越岭,fān shān yuè lǐng,lit. to pass over mountain ridges (idiom)/fig. hardships of the journey,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
精雕细刻,jīng diāo xì kè,lit. fine sculpting (idiom); fig. to work with extreme care and precision,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
生拉硬扯,shēng lā yìng chě,,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
琼楼玉宇,qióng lóu yù yǔ,bejeweled jade palace (idiom); sumptuous dwelling,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
层峦叠嶂,céng luán dié zhàng,range upon range of mountains (idiom),"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
心烦意乱,xīn fán yì luàn,"lit. heart distracted, thoughts in turmoil (idiom); distraught with anxiety","""含有两对近义词的成语  Idioms containing two pairs of synonyms",
崇山峻岭,chóng shān jùn lǐng,towering mountains and precipitous ridges (idiom),"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
奇形怪状,qí xíng guài zhuàng,fantastic oddities of every description (idiom); grotesquely shaped,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
惊涛骇浪,jīng tāo hài làng,perilous situation,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
装模作样,zhuāng mú zuò yàng,to put on an act (idiom); to show affectation/to indulge in histrionics,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
摇头晃脑,yáo tóu huàng nǎo,,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
文丛字顺,wén cóng zì shùn,,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
改朝换代,gǎi cháo huàn dài,to transition to a new dynasty or regime,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
通风报信,tōng fēng bào xìn,,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
能说会道,néng shuō huì dào,can talk really well (idiom); the gift of the gab,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
甜言蜜语,tián yán mì yǔ,(idiom) sweet words/sweet talk/cajolery,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
分门别类,fēn mén bié lèi,(idiom) to organize by categories; to classify,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
追根究底,zhuī gēn jiū dǐ,to get to the heart of the matter,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
虚情假意,xū qíng jiǎ yì,false friendship; hypocritical show of affection,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
幸灾乐祸,xìng zāi lè huò,lit. to take joy in calamity and delight in disaster (idiom); fig. to rejoice in other people's misfortune/Schadenfreude,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
通情达理,tōng qíng dá lǐ,(idiom) fair and reasonable; sensible; standing to reason,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
丰功伟绩,fēng gōng wěi jì,glorious achievement (idiom),"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
歪门邪道,wāi mén xié dào,dishonest practices,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
生擒活捉,shēng qín huó zhuō,,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
离乡背井,lí xiāng bèi jǐng,"to leave one's homeplace (to find work, flee disaster etc)","""含有两对近义词的成语  Idioms containing two pairs of synonyms",
豪言壮语,háo yán zhuàng yǔ,"bold, visionary words","""含有两对近义词的成语  Idioms containing two pairs of synonyms",
汪洋大海,wāng yáng dà hǎi,,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
琼浆玉液,qióng jiāng yù yè,bejeweled nectar (idiom); ambrosia of the immortals/superb liquor/top quality wine,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
斩尽杀绝,zhǎn jìn shā jué,,"""含有两对近义词的成语  Idioms containing two pairs of synonyms",
出神入化,chū shén rù huà,to reach perfection (idiom); a superb artistic achievement,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
横七竖八,héng qī shù bā,in disorder/at sixes and sevens (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
来龙去脉,lái lóng qù mài,the rise and fall of the terrain (idiom)/(fig.) the whole sequence of events/causes and effects,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
浓妆淡抹,nóng zhuāng dàn mǒ,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
逆来顺受,nì lái shùn shòu,"to resign oneself to adversity (idiom); to grin and bear it/to submit meekly to insults, maltreatment, humiliation etc","""含有一对反义词的成语  Idioms containing a pair of antonyms",
朝秦暮楚,zhāo qín mù chǔ,serve Qin in the morning Chu in the evening (idiom); quick to switch sides,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
有恃无恐,yǒu shì wú kǒng,secure in the knowledge that one has backing,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
天经地义,tiān jīng dì yì,lit. heaven's law and earth's principle (idiom); fig. right and proper/right and unalterable/a matter of course,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
转危为安,zhuǎn wēi wéi ān,to turn peril into safety (idiom); to avert a danger (esp. political or medical),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
若明若暗,ruò míng ruò àn,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
弄巧成拙,nòng qiǎo chéng zhuō,to overreach oneself/to try to be clever and end up with egg on one's face,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
扶老携幼,fú lǎo xié yòu,"taking everyone along, young and old/to look after the elderly and the young","""含有一对反义词的成语  Idioms containing a pair of antonyms",
顾此失彼,gù cǐ shī bǐ,lit. to attend to one thing and lose sight of another (idiom)/fig. to be unable to manage two or more things at once/cannot pay attention to one thing without neglecting the other,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
弃暗投明,qì àn tóu míng,to renounce the dark and seek the light/to give up one's wrong way of life and turn to a better one,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
因小失大,yīn xiǎo shī dà,to save a little only to lose a lot (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
自始至终,zì shǐ zhì zhōng,from start to finish (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
七上八下,qī shàng bā xià,at sixes and sevens/perturbed state of mind/in a mess,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
逢凶化吉,féng xiōng huà jí,misfortune turns to blessing (idiom); to turn an inauspicious start to good account,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
舍己为人,shě jǐ wèi rén,"to abandon self for others (idiom, from Analects); to sacrifice one's own interest for other people/altruism","""含有一对反义词的成语  Idioms containing a pair of antonyms",
避实击虚,bì shí jī xū,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
大公无私,dà gōng wú sī,selfless/impartial,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
走南闯北,zǒu nán chuǎng běi,to travel extensively,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
取长补短,qǔ cháng bǔ duǎn,"lit. use others' strengths to make up for one's weak points (idiom from Mencius)/to use this in place of that/what you lose on the swings, you win on the roundabouts","""含有一对反义词的成语  Idioms containing a pair of antonyms",
除暴安良,chú bào ān liáng,to root out the strong and give people peace (idiom); to rob the rich and give to the poor,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
顶天立地,dǐng tiān lì dì,lit. able to support both heaven and earth/of indomitable spirit (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
大材小用,dà cái xiǎo yòng,using a talented person in an insignificant position (idiom)/a sledgehammer to crack a nut,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
古为今用,gǔ wéi jīn yòng,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
夫唱妇随,fū chàng fù suí,fig. the man sings and the woman follows/fig. marital harmony,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
有气无力,yǒu qì wú lì,weakly and without strength (idiom); dispirited,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
殊途同归,shū tú tóng guī,different routes to the same destination (idiom); fig. different means of achieve the same end,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
异曲同工,yì qǔ tóng gōng,different tunes played with equal skill (idiom)/different methods leading to the same result/different approach but equally satisfactory outcome,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
南辕北辙,nán yuán běi zhé,to act in a way that defeats one's purpose (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
朝令夕改,zhāo lìng xī gǎi,to make frequent or unpredictable changes in policy (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
今非昔比,jīn fēi xī bǐ,things are very different now (idiom)/times have changed,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
同床异梦,tóng chuáng yì mèng,lit. to share the same bed with different dreams (idiom); ostensible partners with different agendas/strange bedfellows/marital dissension,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
鬼斧神工,guǐ fǔ shén gōng,supernaturally fine craft (idiom); the work of the Gods/uncanny workmanship/superlative craftsmanship,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
异口同声,yì kǒu tóng shēng,"different mouths, same voice/to speak in unison (idiom)","""含有一对反义词的成语  Idioms containing a pair of antonyms",
大手大脚,dà shǒu dà jiǎo,extravagant (idiom); to throw away money by the handful/wasteful,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
从头到尾,cóng tóu dào wěi,from start to finish/from head to tail/the whole (thing),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
改邪归正,gǎi xié guī zhèng,to mend one's ways (idiom)/to turn over a new leaf,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
惹是生非,rě shì shēng fēi,to stir up trouble,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
弄假成真,nòng jiǎ chéng zhēn,"pretense that turns into reality (idiom); to play at make-believe, but accidentally make it true","""含有一对反义词的成语  Idioms containing a pair of antonyms",
远亲近邻,yuǎn qīn jìn lín,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
前仰后合,qián yǎng hòu hé,to sway to and fro/to rock back and forth,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
天寒地冻,tiān hán dì dòng,"cold weather, frozen ground (idiom); bitterly cold","""含有一对反义词的成语  Idioms containing a pair of antonyms",
先斩后奏,xiān zhǎn hòu zòu,"lit. first execute the criminal, then report it to the emperor (idiom)/fig. to take some drastic action without the prior approval of higher authorities","""含有一对反义词的成语  Idioms containing a pair of antonyms",
功败垂成,gōng bài chuí chéng,to fail within sight of success (idiom); last-minute failure/to fall at the last hurdle/snatching defeat from the jaws of victory,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
若隐若现,ruò yǐn ruò xiàn,faintly discernible (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
反败为胜,fǎn bài wéi shèng,to turn defeat into victory (idiom); to turn the tide,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
铺天盖地,pū tiān gài dì,lit. hiding the sky and covering the earth (idiom); fig. earth-shattering/omnipresent/of universal importance,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
弃旧图新,qì jiù tú xīn,to turn over a new leaf,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
以逸待劳,yǐ yì dài láo,to wait at one's ease for the exhausted enemy/to nurture one's strength and bide one's time (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
化整为零,huà zhěng wéi líng,to break up the whole into pieces (idiom); dealing with things one by one/divide and conquer,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
积少成多,jī shǎo chéng duō,(idiom) many little things add up to sth great; many little drops make an ocean,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
拈轻怕重,niān qīng pà zhòng,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
起死回生,qǐ sǐ huí shēng,to rise from the dead (idiom); fig. an unexpected recovery,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
以攻为守,yǐ gōng wéi shǒu,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
争先恐后,zhēng xiān kǒng hòu,striving to be first and fearing to be last (idiom); outdoing one another,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
横眉立目,héng méi lì mù,to scowl and stare down/to defy,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
苦尽甘来,kǔ jìn gān lái,"bitterness finishes, sweetness begins (idiom); the hard times are over, the good times just beginning","""含有一对反义词的成语  Idioms containing a pair of antonyms",
东倒西歪,dōng dǎo xī wāi,to lean unsteadily from side to side (idiom)/to sway/(of buildings etc) to lean at a crazy angle,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
官逼民反,guān bī mín fǎn,a government official drives the people to revolt (idiom); a minister provokes a rebellion by exploiting the people,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
前赴后继,qián fù hòu jì,to advance dauntlessly in wave upon wave (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
公报私仇,gōng bào sī chóu,to use public office to avenge private wrongs,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
水深火热,shuǐ shēn huǒ rè,deep water and scorching fire/abyss of suffering (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
前呼后拥,qián hū hòu yōng,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
东倒西歪,dōng dǎo xī wāi,to lean unsteadily from side to side (idiom)/to sway/(of buildings etc) to lean at a crazy angle,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
眼高手低,yǎn gāo shǒu dī,to have high standards but little ability/to be fastidious but incompetent (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
口是心非,kǒu shì xīn fēi,duplicity/hypocrisy (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
头重脚轻,tóu zhòng jiǎo qīng,top-heavy/fig. unbalance in organization or political structure,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
有头无尾,yǒu tóu wú wěi,(idiom) to fail to finish off what one started,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
前倨后恭,qián jù hòu gōng,to switch from arrogance to deference (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
东逃西散,dōng táo xī sàn,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
南辕北辙,nán yuán běi zhé,to act in a way that defeats one's purpose (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
左顾右盼,zuǒ gù yòu pàn,glancing to left and right (idiom); to look all around,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
积少成多,jī shǎo chéng duō,(idiom) many little things add up to sth great; many little drops make an ocean,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
同甘共苦,tóng gān gòng kǔ,shared delights and common hardships (idiom); to share life's joys and sorrows/for better or for worse,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
半信半疑,bàn xìn bàn yí,half doubting/dubious/skeptical,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
大材小用,dà cái xiǎo yòng,using a talented person in an insignificant position (idiom)/a sledgehammer to crack a nut,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
先人后己,xiān rén hòu jǐ,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
有口无心,yǒu kǒu wú xīn,to speak harshly but without any bad intent (idiom),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
弄假成真,nòng jiǎ chéng zhēn,"pretense that turns into reality (idiom); to play at make-believe, but accidentally make it true","""含有一对反义词的成语  Idioms containing a pair of antonyms",
举足轻重,jǔ zú qīng zhòng,to play a critical role (idiom)/influential,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
南腔北调,nán qiāng běi diào,a regional accent,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
声东击西,shēng dōng jī xī,to threaten the east and strike to the west (idiom)/to create a diversion,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
转危为安,zhuǎn wēi wéi ān,to turn peril into safety (idiom); to avert a danger (esp. political or medical),"""含有一对反义词的成语  Idioms containing a pair of antonyms",
东倒西歪,dōng dǎo xī wāi,to lean unsteadily from side to side (idiom)/to sway/(of buildings etc) to lean at a crazy angle,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
反败为胜,fǎn bài wéi shèng,to turn defeat into victory (idiom); to turn the tide,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
以少胜多,yǐ shǎo shèng duō,using the few to defeat the many (idiom); to win from a position of weakness,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
由此及彼,yóu cǐ jí bǐ,,"""含有一对反义词的成语  Idioms containing a pair of antonyms",
神出鬼没,shén chū guǐ mò,lit. to appear and disappear unpredictably like a spirit or a ghost (idiom)/fig. elusive,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
人小鬼大,rén xiǎo guǐ dà,,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
南来北往,nán lái běi wǎng,,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
此起彼伏,cǐ qǐ bǐ fú,"up here, down there (idiom); to rise and fall in succession/no sooner one subsides, the next arises/repeating continuously/occurring again and again (of applause, fires, waves, protests, conflicts, uprisings etc)","""含有两对反义词的成语  Idioms containing two pairs of antonyms",
好逸恶劳,hào yì wù láo,to love ease and comfort and hate work (idiom),"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
有名无实,yǒu míng wú shí,lit. has a name but no reality (idiom); exists only in name/nominal,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
喜新厌旧,xǐ xīn yàn jiù,"lit. to like the new, and hate the old (idiom); fig. enamored with new people (e.g. new girlfriend), bored with the old","""含有两对反义词的成语  Idioms containing two pairs of antonyms",
经天纬地,jīng tiān wěi dì,,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
你死我活,nǐ sǐ wǒ huó,"lit. you die, I live (idiom); irreconcilable adversaries/two parties cannot coexist","""含有两对反义词的成语  Idioms containing two pairs of antonyms",
古往今来,gǔ wǎng jīn lái,since ancient times/since times immemorial,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
凶多吉少,xiōng duō jí shǎo,"lit. everything bodes ill, no positive signs (idiom)/fig. inauspicious; everything points to disaster","""含有两对反义词的成语  Idioms containing two pairs of antonyms",
大同小异,dà tóng xiǎo yì,virtually the same/differing only on small points,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
寒来暑往,hán lái shǔ wǎng,,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
生死存亡,shēng sǐ cún wáng,matter of life and death,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
悲欢离合,bēi huān lí hé,joys and sorrows/partings and reunions/the vicissitudes of life,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
盛衰荣辱,shèng shuāi róng rǔ,,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
轻重缓急,qīng zhòng huǎn jí,"slight or important, urgent or non-urgent (idiom); to deal with important matters first/sense of priority","""含有两对反义词的成语  Idioms containing two pairs of antonyms",
是非曲直,shì fēi qǔ zhí,"lit. right and wrong, crooked and straight (idiom); fig. merits and demerits/pros and cons","""含有两对反义词的成语  Idioms containing two pairs of antonyms",
厚此薄彼,hòu cǐ bó bǐ,to favour one and discriminate against the other,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
深入浅出,shēn rù qiǎn chū,to explain a complicated subject matter in simple terms (idiom)/(of language) simple and easy to understand,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
先公后私,xiān gōng hòu sī,,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
死去活来,sǐ qù huó lái,to hover between life and death (idiom)/to suffer terribly/within an inch of one's life,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
有始无终,yǒu shǐ wú zhōng,to start but not finish (idiom); to fail to carry things through/lack of sticking power/short attention span,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
藏头露尾,cáng tóu lù wěi,to hide the head and show the tail (idiom); to give a partial account/half-truths,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
前因后果,qián yīn hòu guǒ,cause and effects (idiom); entire process of development,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
避实就虚,bì shí jiù xū,(idiom) stay clear of the enemy's main force and strike at his weak points,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
送往迎来,sòng wǎng yíng lái,see 迎來送往|迎来送往[ying2 lai2 song4 wang3],"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
扶弱抑强,fú ruò yì qiáng,to support the weak and restrain the strong (idiom); robbing the rich to help the poor,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
先人后己,xiān rén hòu jǐ,,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
春华秋实,chūn huá qiū shí,,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
天南地北,tiān nán dì běi,distant places/all over the country/(to talk) about this and that,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
避重就轻,bì zhòng jiù qīng,to avoid the important and dwell on the trivial/to keep silent about major charges while admitting minor ones,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
外强中干,wài qiáng zhōng gān,strong in appearance but weak in reality (idiom),"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
吉凶祸福,jí xiōng huò fú,,"""含有两对反义词的成语  Idioms containing two pairs of antonyms",
摇头摆尾,yáo tóu bǎi wěi,to nod one's head and wag one's tail (idiom)/to be well pleased with oneself/to have a lighthearted air,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
返老还童,fǎn lǎo huán tóng,to recover one's youthful vigor/to feel rejuvenated (idiom),"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
欢天喜地,huān tiān xǐ dì,delighted/with great joy/in high spirits,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
瞻前顾后,zhān qián gù hòu,lit. to look forward and back (idiom)/fig. to consider carefully; to weigh the pros and cons/fig. to be overcautious and indecisive,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
同生共死,tóng shēng gòng sǐ,,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
惊天动地,jīng tiān dòng dì,world-shaking (idiom),"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
说长道短,shuō cháng dào duǎn,lit. to discuss sb's merits and demerits (idiom); to gossip,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
寻死觅活,xún sǐ mì huó,,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
昏天黑地,hūn tiān hēi dì,lit. dark sky and black earth (idiom)/fig. pitch dark/to black out/disorderly/troubled times,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
挑肥拣瘦,tiāo féi jiǎn shòu,,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
开天辟地,kāi tiān pì dì,to split heaven and earth apart (idiom); refers to the Pangu 盤古|盘古[Pan2 gu3] creation myth,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
街头巷尾,jiē tóu xiàng wěi,"top of streets, bottom of alleys (idiom); everywhere in the city","含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
同甘共苦,tóng gān gòng kǔ,shared delights and common hardships (idiom); to share life's joys and sorrows/for better or for worse,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
冷嘲热讽,lěng cháo rè fěng,frigid irony and scorching satire (idiom); to mock and ridicule,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
尔虞我诈,ěr yú wǒ zhà,lit. you hoodwink me and I cheat you (idiom)/fig. each tries to outwit the other/deceit and treachery,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
横冲直撞,héng chōng zhí zhuàng,"(idiom) to barge through, jostling and elbowing; to charge around; to rampage","含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
左顾右盼,zuǒ gù yòu pàn,glancing to left and right (idiom); to look all around,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
新仇旧恨,xīn chóu jiù hèn,,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
大街小巷,dà jiē xiǎo xiàng,great streets and small alleys (idiom); everywhere in the city,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
东张西望,dōng zhāng xī wàng,to look in all directions (idiom)/to glance around,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
阴差阳错,yīn chā yáng cuò,(idiom) due to an unexpected turn of events,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
左思右想,zuǒ sī yòu xiǎng,to turn over in one's mind (idiom); to think through from different angles/to ponder,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
天罗地网,tiān luó dì wǎng,inescapable net (idiom)/trap/dragnet,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
长吁短叹,cháng xū duǎn tàn,long moan and short gasp (idiom); continually moaning and groaning in pain,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
南腔北调,nán qiāng běi diào,a regional accent,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
明争暗斗,míng zhēng àn dòu,(idiom) to fight openly and maneuver covertly,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
东奔西跑,dōng bēn xī pǎo,to run this way and that (idiom); to rush about busily/to bustle about,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
手舞足蹈,shǒu wǔ zú dǎo,lit. to move one's hands and feet about (idiom)/fig. to dance about/to express one's feelings in body language/to gesture animatedly/(TCM) involuntary movements of the limbs,"含有近义, 反义词的成语  Idioms containing synonyms and antonyms",
